url	name	authors	genres	cycle	annotation	date
https://author.today/work/369618	Фронтир. Том I. Охотник за головами	"[""Александр Вайс""]"	"[""Роман"",""Космическая фантастика"",""Боевая фантастика"",""Приключения""]"	Фронтир	"С началом экспансии человечество вспомнило, что такое беззаконье, пиратство и право сильного. Космос слишком велик и жесток, чтобы кто-то мог сделать его безопасным вне островков спокойствия перенаселённых планет.Если не хочешь всю жизнь прозябать в мегаполисе или бесконечной паутине коридоров станций, смирись с опасностью и стань частью экипажа космического корабля. Хочешь заработать на красивую жизнь меж звёзд? Придётся рискнуть, а возможностей масса.Многие выбирают поступить на службу ВКС, но что делать, если твой путь с ними разошёлся? При тебе навыки пилота и есть деньги на небольшой корабль, выбор очевиден. Добро пожаловать в наёмники. Для тебя всегда найдётся работёнка на фронтире.                
                        Примечания автора:
                        Герой не попаданец, тут нет элементов РеалРПГ или сверхспособностей (вообще).Я буду пользоваться некоторыми теоретическими концепциями, без технологической магии, но не уйду в описания принципов работы или занудное перечисление характеристик.Наслаждайтесь историей и приятного чтения!p.s. Для мира написан справочник: https://author.today/work/391588"	
https://author.today/work/399689	Рейд в опасную зону. Том 2	"[""Мэт Купцов""]"	"[""Роман"",""Альтернативная история"",""Назад в СССР"",""Попаданцы во времени""]"	Опасный рейд	Это второй том! Первый том здесь -50% 🔥 https://author.today/work/394159Я погиб в бою. Но моё сознание перенеслось в прошлое. 1984 год. Советский Союз. Идёт война в Афганистане. Меня, молодого спецназовца отправляют в зону боевых действий. Я снова возвращаюсь к тому, с чего начинал. Никто не догадывается, что я попаданец из будущего. Но на поле боя происходит жесткое стечение обстоятельств. И я понимаю, что на меня охотятся не только боевики...От автора:Прода каждый деньПервый том здесь: https://author.today/work/394159	2024-12-04T21:00:04.9770000Z
https://author.today/work/363750	Медорфенов. Книга 6. Буря империи	"[""Ярослав Сай""]"	"[""Роман"",""Бояръ-Аниме"",""Боевое фэнтези"",""Эпическое фэнтези""]"	Медорфенов	"Еще вчера твоего имени боялась добрая половина галактики, а уже сегодня ты лежишь прикованный к постели с искалеченным источником. Род уничтожен, от былого величия остался лишь жалкий пшик, а кратчайший способ вернуть магию находится в пустошах – самом опасном месте нового мира. Твари и пробои, секреты и интриги, наследия исчезнувших цивилизаций и отголоски Первых - что еще таят в себе мертвые земли?Первый том цикла - https://author.today/reader/278671/2522713                
                        Примечания автора:
                        Скачивание будет доступно после окончания книги!"	2024-12-03T21:15:12.1830000Z
https://author.today/work/393429	Пограничник. Том 1: На афганской границе	"[""Артём Март""]"	"[""Роман"",""Назад в СССР"",""Попаданцы во времени"",""Альтернативная история""]"	Пограничник	"Я был офицером ВДВ и старость решил встретить простым егерем. Но погиб на спасательной операции и попал в... СССР! В день, когда уходил в армию, в год, когда потерял младшего брата. На дворе октябрь 80-го. Советская армия воюет в Афгане. Я снова молод и полон сил, а мой брат пока жив. И чтобы спасти его, я должен стать пограничником на афганской границе.                
                        Примечания автора:
                        Имена, названия некоторых мест и некоторые обстоятельства намеренно изменены автором в художественных целях._____________________________________За обложку огромная благодарность Артемису Мантикору: https://author.today/u/armanticore"	
https://author.today/work/395067	Кузнец	"[""Александр Fox""]"	"[""Роман"",""Бояръ-Аниме"",""Попаданцы"",""Боевое фэнтези""]"	Кузнец	В мире, где кланы плетут свои интриги, я пал жертвой предательства и очнулся в теле сына простого кузнеца. По крайней мере, так считают все вокруг. Но древние шрамы на теле отца, его мастерство в создании магического оружия и тщательно скрываемые тайны прошлого намекают на нечто большее. Знания боевых искусств из прошлой жизни и открывшийся дар к магии металла станут моим путём к могуществу. В мире, где каждый клан готов перегрызть глотку за крупицу силы, я построю свою империю. Пусть все думают, что я лишь безродный подмастерье – тем сладче будет момент, когда маски падут. Ведь в моих жилах течёт кровь, способная пошатнуть устои этого мира...	2024-12-04T21:03:11.0730000Z
https://author.today/work/395230	Неправильный лекарь. Том 2	"[""Сергей Измайлов""]"	"[""Роман"",""Бояръ-Аниме"",""Попаданцы в магические миры"",""Городское фэнтези""]"	Неправильный лекарь	"Начало: https://author.today/work/384999Заснул в ординаторской, проснулся в другом теле и другом мире. Да ещё с проникающим ножевым в грудную полость. Вляпался по самый небалуй. Но, стоило осмотреться, а не так уж тут и плохо! Всем правит магия и возможно невозможное. Только для этого надо заново пробудить и расшевелить свой дар. Ого! Да у меня тут сюрприз! Ну что, братцы, заживём на славу! А вон тех уродов на другом берегу Фонтанки это не касается, я им обязательно устрою проблемы, от которых они не отдышатся. Ибо не хрен порядочных людей из себя выводить.Да, теперь я не хирург в нашем, а лекарь в другом, наполненным магией во всех её видах и оттенках мире. Да ещё фамилия какая досталась примечательная, Склифосовский. В этом мире пока о ней знают немногие, но я сделаю так, чтобы она гремела на всю Российскую империю! Поставят памятники и сочинят баллады, славящие мой род в веках!Смелые фантазии, не правда ли? Дело за малым, шаг за шагом превратить их в реальность. И я это сделаю!                
                        Примечания автора:
                        Это боярка без разломов, монстров, бесконечных баталий и рубилова (наверное). Даже без полётов в космос (это не точно, хотя вряд ли). Спокойное развитие событий с аристократическими приёмами, прогулками по набережной Невы. Конечно без интриг и страстей не обойдётся, а также хождения по лезвию бритвы. Запасайтесь печеньками и настойкой пустырника, приятного чтения! Герой не нагибатор и имеет право на ошибки, главное вовремя их исправлять и двигаться дальше назло врагам и конкурентам!P.S. Попкорн тоже приветствуется. 😉👍"	2024-12-04T21:00:22.7370000Z
https://author.today/work/302956	Черный маг императора	"[""Александр Герда""]"	"[""Роман"",""Бояръ-Аниме"",""Попаданцы в магические миры"",""Юмор""]"	Черный маг императора	"Я Максим Темников. Мне двенадцать лет и во мне живет дух некроманта.Я учусь в магической школе, где все старше меня как минимум на пару лет, и регулярно попадаю в кабинет директора за всякую ерунду.А еще я обладаю Темным даром и могу… Стоп! Об этом потом. По-моему, я опять нашел какое-то приключение…                
                        Примечания автора:
                        Очень хотелось написать легкую, интересную историю с магией, которая доставит вам удовольствие и не будет напрягать. Хочется думать, что мне это удалось.Лайки, комменты, награды и подписки очень сильно мотивируют)ВЫКЛАДКА: ЕЖЕДНЕВНО в 00:15Обложку сделали тут: https://vk.com/drakart"	
https://author.today/work/310703	Возвышение Меркурия. Книга 11	"[""Александр Кронос""]"	"[""Роман"",""Попаданцы в магические миры"",""Бояръ-Аниме"",""Фантастика""]"	Меркурий	"Я был римским божеством и правил миром. А потом нам ударили в спину те, кому мы великодушно сохранили жизнь. Теперь я здесь - в новом варварском мире, где все носят штаны вместо тоги, а люди ездят в стальных коробках. Слабая смертная плоть позволила сохранить лишь часть моей силы. Но я Меркурий - покровитель торговцев, воров и путников. Значит, обязательно разберусь, куда исчезли все боги этого мира и почему люди присвоили себе нашу силу.Что? Кто это сказал? Ограничить себя во всём и прорубаться к цели? Не совсем мой стиль, господа. Как говорил мой брат Марс - даже на поле самой жестокой битвы найдётся время для отдыха. К тому же, вы посмотрите - вокруг столько прекрасных женщин, которым никто не уделяет внимания.                
                        Примечания автора:
                        Что делать с лайками и комментариями, вы сами прекрасно знаете)Это одиннадцатая часть серии, первая книга находится здесь: https://author.today/work/277736"	
https://author.today/work/391795	Завод-2: назад в СССР	"[""Валерий Гуров"",""Рафаэль Дамиров""]"	"[""Роман"",""Назад в СССР"",""Альтернативная история"",""Попаданцы во времени""]"	Завод	"ПЕРВЫЙ ТОМ ТУТ: https://author.today/work/series/38440Больше сорока лет я отпахал на заводе, пока несчастный случай на производстве не забрал мою жизнь. Но я не умер – мое сознание перенеслось в прошлое. На дворе семидесятые, СССР в самом расцвете, а я молодой пацан – ученик на советском оборонном предприятии.Здесь все так знакомо и кажется родным… Вот только я прекрасно помню, что мой родной завод пошел с молотка после катастрофы, унесшей много жизней.Могу ли я спасти людей? А завод?Я сделаю все, чтобы изменить судьбу. А пока что мой наставник и мастер дивятся моим навыкам, ведь я знаю намного больше обычного выпускника ПТУ…                
                        Примечания автора:
                        ☭☭☭ Прода каждый день. Каждый трудовой день - ударный!☭☭☭ Товарищ! Ударно ставь лайк! Он помогает авторам повышать эффективность труда.☭☭☭ Поддержи книгу коментом! Бей вредителей и хейтеров!"	
https://author.today/work/393716	Эволюционер из трущоб. Том 4	"[""Антон Панарин""]"	"[""Роман"",""Бояръ-Аниме"",""Попаданцы"",""Боевое фэнтези""]"	Эволюционер из трущоб	"Я архимаг Михаэль. За свою жизнь я повидал множество красавиц и безумных сражений. Правда в один момент сражений стало намного больше чем красавиц. Потеряв баланс, я решил остановить войны. Устроил научные изыскания и даже исследовал ДНК магов! Мне оставался всего шаг, чтобы понять что заставляет нас враждовать, но я погиб...Однако жизнь подарила мне второй шанс... Я очнулся в теле младенца и обнаружил божественный дар - генокрад. Что это такое и как с этим жить, мне предстоит разобраться.Осложняет всё мой новоявленный отец, ведь он хочет выслать меня на задворки империи, за то что у меня нет предрасположенности к магии. Но я справлюсь и прекращу войны... Правда для начала нужно научиться говорить.                
                        Примечания автора:
                        🔥НОВЫЕ ГЛАВЫ ПО БУДНЯМ в 00:15"	2024-12-04T21:15:05.2430000Z
https://author.today/work/385364	Ученик шиноби 19. Финал	"[""Роман Романович""]"	"[""Роман"",""Героическое фэнтези"",""Бояръ-Аниме""]"	Шиноби	Грядет буря.Маски сбрасываются, королям становится тесно в одном мире. Вскоре все козыри будут выложены на стол.	2024-12-05T04:00:05.4230000Z
https://author.today/work/389606	Стажер Ли Су Джин	"[""Роман Таймири"",""Нипон Кошкин""]"	"[""Роман"",""Дорама"",""Попаданцы""]"	Ли Су Джин	"= Су Джин семнадцатилетний кореец, который очнулся в больнице после аварии. Вот только теперь его тело занимает кто-то другой =- Всю свою прошлую жизнь я стремился к карьерному росту и в двадцать пять лет меня стали называть гением, который казалось бы достиг всего. Но уже спустя два года болезнь оборвала мой путь.Теперь очнувшись в новом мире я стал наследником уважаемой семьи Ли, которая в третьем поколении работает на один из крупнейших конгломератов Кореи. Мой Дед видит во мне преемника семейного бизнеса, а мать, разочаровалась в семейных традициях и желает, чтобы я стал айдолом.Послать бы все к черту, но контракт с агентством будет действителен еще три года, а семья хочет, чтобы я начал стажировку в компании, не успев даже окончить школу.В целом, все не так уж и плохо, особенно новая жизнь и молодое, здоровое тело. Что-же до контракта? Так или иначе, я найду способ его разорвать. Танцевать как клоун на сцене я точно не стану. Ведь не стану же..?                
                        Примечания автора:
                        = КНИГА БЕСПЛАТНАЯ =Если аннотации вам недостаточно, чтобы решить, ваша ли это книга, то в первом закрепленном комментарии вы найдете больше информации из безспойлерного ""интервью"" и видео-шортс к книге."	2024-12-04T20:53:40.8470000Z
https://author.today/work/311095	Последний Паладин. Том 1	"[""Роман Саваровский""]"	"[""Роман"",""Бояръ-Аниме"",""Попаданцы во времени"",""Боевое фэнтези""]"	Путь Паладина	"Годами я сражался за человечество, но был предан и заточен в ловушку. «Если хотели меня убить, могли бы постараться получше» - подумал я когда выбрался спустя год. Стоп… как это прошло 700 лет?                
                        Примечания автора:
                        - Вас ждет легкая история о некогда сильнейшем одаренном человечества, который из-за предательства решил взять отпуск и пожить в свое удовольствие. Посмотрим, получится ли у него. - 💖 Не забудьте поставить Лайк. Говорят, это напрямую влияет на скорость выхода прод, но это не точно.- За обложку благодарности https://vk.com/drakart"	
https://author.today/work/387334	Возвышение. Земли Ордена	"[""Михаил Игнатов""]"	"[""Роман"",""Уся"",""Боевое фэнтези""]"	Путь	"И так они строили, строили и построили, наконец, город.Фракции - звезды, Леграду - эссенцию, младшим - уроки, старшим - учеников, Возвышению - ура! График выхода глав:«Каждый вторник, в 6.15 по Багдаду»• ТМ «Михаил Игнатов»                
                        Примечания автора:
                        Имена персонажей -- https://author.today/work/150511Техники -- https://author.today/work/155678Лор -- https://author.today/work/129108Авторская группа в ВК - https://vk.com/ignatov_worldsКанал автора в ТГ - https://t.me/ignatov_worldsМерч и бумага - https://www.ozon.ru/seller/knizhnye-miry-ignatova-1537280/productsДействия нет и не будет, текст, как и в предыдущих книгах - сплошные размышления о судьбах бытия, Небе и своих ошибках."	2024-12-03T03:15:13.1000000Z
https://author.today/work/284547	Возвышение Меркурия. Книга 3	"[""Александр Кронос""]"	"[""Роман"",""Попаданцы в магические миры"",""Бояръ-Аниме"",""Фантастика""]"	Меркурий	"Я был римским божеством и правил миром. А потом нам ударили в спину те, кому мы великодушно сохранили жизнь. Теперь я здесь - в новом варварском мире, где все носят штаны вместо тоги, а люди ездят в стальных коробках. Слабая смертная плоть позволила сохранить лишь часть моей силы. Но я Меркурий - покровитель торговцев, воров и путников. Значит, обязательно разберусь, куда исчезли все боги этого мира и почему люди присвоили себе нашу силу.Что? Кто это сказал? Ограничить себя во всём и прорубаться к цели? Не совсем мой стиль, господа. Как говорил мой брат Марс - даже на поле самой жестокой битвы найдётся время для отдыха. К тому же, вы посмотрите - вокруг столько прекрасных женщин, которым никто не уделяет внимания.                
                        Примечания автора:
                        Что делать с лайками и комментариями, вы сами прекрасно знаете)Это третья часть серии, первая книга находится здесь: https://author.today/work/277736"	
https://author.today/work/392677	Путь Человечества	"[""Юрий Корчагин""]"	"[""Роман"",""Фанфик"",""Фантастика"",""Киберпанк""]"	Путь	"Сила, власть, признание... всего этого удалось добиться в кратчайшие сроки. В мире творится хаос, казалось, бери столько власти сколько сможешь и веди человечество к светлому будущему, но... Ты уже прошёл этим путём, и он закончился предательством тех, кого ты оберегал, теперь тебя влекут далёкие звёзды. Готов ли ты встретиться с теми опасностями, что скрываются среди них?                
                        Примечания автора:
                        Продолжение Пути Человека, охватывающие события после 2023 года по хронологии мира Киберпанка. Произведение будет разбито на две основные вехи: события на земле и в далёком и не очень космосе. Если будет время, добавлю немного мультивёрса, но скорее всего в отдельной книге сильно позже.График выхода новых глав стандартный понедельник/среда/пятница, если выложить главу не получится, постараюсь предупредить об этом заранее."	2024-12-04T15:55:19.6530000Z
https://author.today/work/297780	Возвышение Меркурия. Книга 7	"[""Александр Кронос""]"	"[""Роман"",""Попаданцы в магические миры"",""Бояръ-Аниме"",""Фантастика""]"	Меркурий	"Я был римским божеством и правил миром. А потом нам ударили в спину те, кому мы великодушно сохранили жизнь. Теперь я здесь - в новом варварском мире, где все носят штаны вместо тоги, а люди ездят в стальных коробках. Слабая смертная плоть позволила сохранить лишь часть моей силы. Но я Меркурий - покровитель торговцев, воров и путников. Значит, обязательно разберусь, куда исчезли все боги этого мира и почему люди присвоили себе нашу силу.Что? Кто это сказал? Ограничить себя во всём и прорубаться к цели? Не совсем мой стиль, господа. Как говорил мой брат Марс - даже на поле самой жестокой битвы найдётся время для отдыха. К тому же, вы посмотрите - вокруг столько прекрасных женщин, которым никто не уделяет внимания.                
                        Примечания автора:
                        Что делать с лайками и комментариями, вы сами прекрасно знаете)Это седьмая часть серии, первая книга находится здесь: https://author.today/work/277736"	
https://author.today/work/390158	#Бояръ-Аниме. Моров. Том 7	"[""Владимир Кощеев""]"	"[""Роман"",""Бояръ-Аниме"",""Попаданцы в магические миры"",""Боевое фэнтези""]"	Моров	"Ссылка на первый том - https://author.today/reader/303487Пытаясь обеспечить себе развитие и спокойно жить в новом мире, ты оказываешься втянут в войну банд и интриги высшей аристократии.Вторая жизнь становится все опаснее, но у тебя крепкие руки, холодная голова, опыт иного мира. И магия.Твой путь к вершине начался.                
                        Примечания автора:
                        ГГ имба, и не стесняется этого."	2024-12-04T23:17:26.5870000Z
https://author.today/work/391449	Охотник Гарри	"[""stardwarf""]"	"[""Роман"",""Фанфик""]"		"Очередной фанфик по ГП. Попаданец в тушку Отрока-Что-Выжил, с самого детства. ГГ будет пытаться восстанавливать свой род и активно развиваться. Сверх-гениальных изобретений не будет. Никаких магических смартфонов, зелий от ликантропии и прочего подобного. Нагибаторства от Гарри не будет. На уровень Волди и Дамби гг к 11 также не выйдет. Да и к 17, на самом деле. Несмотря на все старания. Гарема тоже не будет. Всё, дальше без спойлеров.                
                        Примечания автора:
                        Главы планирую выпускать от 3 до 5 раз в неделю. Возможно чаще, если поддержка позволит уделять больше времени творчеству, а не работе.Больше глав доступно на бусти (ссылка в профиле, сюда почему-то не даёт прикрепить, стирает при попытке сохранить)"	2024-12-04T17:30:26.0030000Z
https://author.today/work/393807	Звездная Кровь-8. Псы Вечности	"[""Роман Прокофьев""]"	"[""Роман"",""Фантастика"",""Попаданцы в магические миры"",""РеалРПГ""]"	Звездная Кровь	"Сезон Дикой Охоты продолжается.У нас мало времени.Мы знаем, что Черви придут гасить золотой свет юного Игг-Древа, и знаем, что земные технологии не помогут их остановить. Только Руны и Звездная Кровь, но Белый Дьявол теперь далеко, а проблем и забот становится все больше.С «Хельги» падают капсулы, земному фригольду угрожают новые враги, ядро Домена хранят таинственные существа из темных земель…  Много испытаний предстоит пройти, чтобы стать сильнее. И самое опасное из них – зловещие Псы Вечности, что улыбаются из Саркофагов Бесконечного Сна.                
                        Примечания автора:
                        Восьмая книга цикла ""Звездная Кровь"". Черновик. Выкладка по понедельникам."	2024-12-01T21:15:17.6500000Z
https://author.today/work/389411	Вперед в прошлое 8	"[""Денис Ратманов""]"	"[""Роман"",""Попаданцы"",""Альтернативная история"",""Попаданцы во времени""]"	Вперед в прошлое	"Я вернулся в себя четырнадцатилетнего, зная наперед, что будет дальше. Меняя себя и судьбы близких, я стал замечать, что и реальность меняется.                
                        Примечания автора:
                        Это восьмая книга цикла. Первая книга: https://author.today/work/300411Продолжение - вторник, четверг суббота."	2024-12-04T21:01:25.0470000Z
https://author.today/work/294725	Возвышение Меркурия. Книга 6	"[""Александр Кронос""]"	"[""Роман"",""Попаданцы в магические миры"",""Бояръ-Аниме"",""Фантастика""]"	Меркурий	"Я был римским божеством и правил миром. А потом нам ударили в спину те, кому мы великодушно сохранили жизнь. Теперь я здесь - в новом варварском мире, где все носят штаны вместо тоги, а люди ездят в стальных коробках. Слабая смертная плоть позволила сохранить лишь часть моей силы. Но я Меркурий - покровитель торговцев, воров и путников. Значит, обязательно разберусь, куда исчезли все боги этого мира и почему люди присвоили себе нашу силу.Что? Кто это сказал? Ограничить себя во всём и прорубаться к цели? Не совсем мой стиль, господа. Как говорил мой брат Марс - даже на поле самой жестокой битвы найдётся время для отдыха. К тому же, вы посмотрите - вокруг столько прекрасных женщин, которым никто не уделяет внимания.                
                        Примечания автора:
                        Что делать с лайками и комментариями, вы сами прекрасно знаете)Это шестая часть серии, первая книга находится здесь: https://author.today/work/277736"	
https://author.today/work/395360	Дядя самых честных правил 10	"[""Александр \""Котобус\"" Горбов""]"	"[""Роман"",""Бояръ-Аниме"",""Попаданцы в магические миры"",""Альтернативная история""]"	Дядя самых честных правил	"Первый том цикла здесь: https://author.today/reader/225382Мир, где дворяне гордятся магическим Талантом, князьям служат отряды опричников, а крепостные орки послушно отрабатывают барщину. Мир, где кареты тащат магомеханические лошади, пушки делают колдуны, а масоны занимаются генетикой. Мир, где подходит к концу XVIII век, вместо Берингова пролива — Берингов перешеек, а на Российский престол взошла Екатерина Вторая.                
                        Примечания автора:
                        Проды: понедельник-среда-пятница"	2024-12-02T00:00:08.1030000Z
https://author.today/work/317281	Возвышение Меркурия. Книга 13	"[""Александр Кронос""]"	"[""Роман"",""Попаданцы в магические миры"",""Бояръ-Аниме"",""Фантастика""]"	Меркурий	"Я был римским божеством и правил миром. А потом нам ударили в спину те, кому мы великодушно сохранили жизнь. Теперь я здесь - в новом варварском мире, где все носят штаны вместо тоги, а люди ездят в стальных коробках. Слабая смертная плоть позволила сохранить лишь часть моей силы. Но я Меркурий - покровитель торговцев, воров и путников. Значит, обязательно разберусь, куда исчезли все боги этого мира и почему люди присвоили себе нашу силу.Что? Кто это сказал? Ограничить себя во всём и прорубаться к цели? Не совсем мой стиль, господа. Как говорил мой брат Марс - даже на поле самой жестокой битвы найдётся время для отдыха. К тому же, вы посмотрите - вокруг столько прекрасных женщин, которым никто не уделяет внимания.                
                        Примечания автора:
                        Что делать с лайками и комментариями, вы сами прекрасно знаете)Это тринадцатая часть серии, первая книга находится здесь: https://author.today/work/277736"	
https://author.today/work/395396	Один я остался без силы!	"[""Сергей Орлов""]"	"[""Роман"",""Бояръ-Аниме"",""Боевое фэнтези"",""Попаданцы в магические миры""]"	О том, как мелкий перевертыш покоряет мир!	"Я был тем, кто правил. Я был тем, кто мог превращаться в других людей и впитывать их способности.  Я был тем, кто создал Империю, объединив народы. Но меня предали. Теперь я в теле опального княжича. Сторонников мало, повсюду смерть, а из оружия только обаятельность. Ну ничего, я и младенцем нагну этот мир!                
                        Примечания автора:
                        Новые главы каждый день в 06:00 по мск!"	2024-12-04T18:06:01.0530000Z
https://author.today/work/291657	Возвышение Меркурия. Книга 5	"[""Александр Кронос""]"	"[""Роман"",""Попаданцы в магические миры"",""Бояръ-Аниме"",""Фантастика""]"	Меркурий	"Я был римским божеством и правил миром. А потом нам ударили в спину те, кому мы великодушно сохранили жизнь. Теперь я здесь - в новом варварском мире, где все носят штаны вместо тоги, а люди ездят в стальных коробках. Слабая смертная плоть позволила сохранить лишь часть моей силы. Но я Меркурий - покровитель торговцев, воров и путников. Значит, обязательно разберусь, куда исчезли все боги этого мира и почему люди присвоили себе нашу силу.Что? Кто это сказал? Ограничить себя во всём и прорубаться к цели? Не совсем мой стиль, господа. Как говорил мой брат Марс - даже на поле самой жестокой битвы найдётся время для отдыха. К тому же, вы посмотрите - вокруг столько прекрасных женщин, которым никто не уделяет внимания.                
                        Примечания автора:
                        Что делать с лайками и комментариями, вы сами прекрасно знаете)Это пятая часть серии, первая книга находится здесь: https://author.today/work/277736"	
https://author.today/work/399543	Барон запрещает правила	"[""Евгений Ренгач""]"	"[""Роман"",""Бояръ-Аниме"",""Боевое фэнтези"",""Попаданцы в магические миры""]"	Закон сильного	"Это девятая книга! Первая здесь: https://author.today/work/346704Я был сильнейшим Следопытом своего мира. У меня были сила и власть, а созданный мной Орден подчинялся каждому слову. Но Архимаги испугались меня и предали. Теперь я в новом мире, в теле слабого паренька, лишённого наследства и приговорённого к смертной казни.Ха! Разве это проблемы?Врагов я накажу. Жёстко, со вкусом.Деньги заработаю. Ведь мой Дар в этом мире уникален, и равных мне здесь нет.Род подниму со дна. Да так, что даже Император содрогнётся, услышав моё имя!А вообще неплохой мирок. Девушки красивые, еда вкусная, монстры страшные, а противники... Противники мне всё равно не ровня!Чувствую, мне здесь понравится! А вот остальным… Впрочем, это уже их проблемы!                
                        Примечания автора:
                        Лёгкая книжка для отдыха. Без вселенской глубины и моральных терзаний героя. Ну разве чуть-чуть. )Ответы для самых любопытных:- А проды часто?- Первые 10-12 глав - каждый день. А дальше посмотрим.- Роялей много завезли?- Много. А ещё скрипки, контрабас и орган. Целый оркестр! Но все вместе они очень здорово играют. )"	2024-12-04T21:15:06.8830000Z
https://author.today/work/287943	Возвышение Меркурия. Книга 4	"[""Александр Кронос""]"	"[""Роман"",""Попаданцы в магические миры"",""Бояръ-Аниме"",""Фантастика""]"	Меркурий	"Я был римским божеством и правил миром. А потом нам ударили в спину те, кому мы великодушно сохранили жизнь. Теперь я здесь - в новом варварском мире, где все носят штаны вместо тоги, а люди ездят в стальных коробках. Слабая смертная плоть позволила сохранить лишь часть моей силы. Но я Меркурий - покровитель торговцев, воров и путников. Значит, обязательно разберусь, куда исчезли все боги этого мира и почему люди присвоили себе нашу силу.Что? Кто это сказал? Ограничить себя во всём и прорубаться к цели? Не совсем мой стиль, господа. Как говорил мой брат Марс - даже на поле самой жестокой битвы найдётся время для отдыха. К тому же, вы посмотрите - вокруг столько прекрасных женщин, которым никто не уделяет внимания.                
                        Примечания автора:
                        Что делать с лайками и комментариями, вы сами прекрасно знаете)Это четвёртая часть серии, первая книга находится здесь: https://author.today/work/277736"	
